bars_checked,dataset,entry_price,equity_after,equity_before,executed,ladder_step_at_signal,mode,next_ladder_step,outcome,pnl,realized_r,risk_pct_at_signal,scenario,setup_id,side,signal_timestamp,skip_reason,stop_price,symbol,timeframe
84,since_inception_replay_raw,159.83,86504.13,86564.73,True,1,baseline,2,sl_hit,-60.6,-1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604070100,long,2026-04-07T01:00:00+00:00,,159.685508,USD_JPY,5m
76,since_inception_replay_raw,159.858,86331.13,86504.13,True,2,baseline,3,sl_hit,-173.01,-1.0,0.2,scenario1,cwt-usd_jpy-5m-scenario1-long-202604070140,long,2026-04-07T01:40:00+00:00,,159.721275,USD_JPY,5m
40,since_inception_replay_raw,159.876,85942.64,86331.13,True,3,baseline,4,sl_hit,-388.49,-1.0,0.45,scenario1,cwt-usd_jpy-5m-scenario1-long-202604070145,long,2026-04-07T01:45:00+00:00,,159.729697,USD_JPY,5m
7,since_inception_replay_raw,211.383,85083.21,85942.64,True,4,baseline,4,sl_hit,-859.43,-1.0,1.0,scenario2,cwt-gbp_jpy-15m-scenario2-long-202604070400,long,2026-04-07T04:00:00+00:00,,211.264814,GBP_JPY,15m
3,since_inception_replay_raw,10468.0,84232.38,85083.21,True,4,baseline,4,sl_hit,-850.83,-1.0,1.0,scenario2,cwt-uk100_gbp-5m-scenario2-long-202604070515,long,2026-04-07T05:15:00+00:00,,10455.480357,UK100_GBP,5m
34,since_inception_replay_raw,159.808,83390.05,84232.38,True,4,baseline,4,sl_hit,-842.32,-1.0,1.0,scenario2,cwt-usd_jpy-5m-scenario2-long-202604070545,long,2026-04-07T05:45:00+00:00,,159.572743,USD_JPY,5m
3,since_inception_replay_raw,10466.0,82556.15,83390.05,True,4,baseline,4,sl_hit,-833.9,-1.0,1.0,scenario2,cwt-uk100_gbp-5m-scenario2-long-202604070615,long,2026-04-07T06:15:00+00:00,,10455.378571,UK100_GBP,5m
5,since_inception_replay_raw,159.802,83381.71,82556.15,True,4,baseline,1,tp_hit,825.56,1.0,1.0,scenario2,cwt-usd_jpy-5m-scenario2-long-202604070640,long,2026-04-07T06:40:00+00:00,,159.724457,USD_JPY,5m
1,since_inception_replay_raw,10460.0,83440.08,83381.71,True,1,baseline,1,tp_hit,58.37,1.0,0.07,scenario2,cwt-uk100_gbp-5m-scenario2-long-202604070810,long,2026-04-07T08:10:00+00:00,,10454.833571,UK100_GBP,5m
25,since_inception_replay_raw,211.64,83498.49,83440.08,True,1,baseline,1,tp_hit,58.41,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604070815,long,2026-04-07T08:15:00+00:00,,211.353338,GBP_JPY,15m
47,since_inception_replay_raw,211.782,83556.94,83498.49,True,1,baseline,1,tp_hit,58.45,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604070845,long,2026-04-07T08:45:00+00:00,,211.379419,GBP_JPY,15m
52,since_inception_replay_raw,211.856,83615.43,83556.94,True,1,baseline,1,tp_hit,58.49,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604070900,long,2026-04-07T09:00:00+00:00,,211.39752,GBP_JPY,15m
12,since_inception_replay_raw,10484.8,83556.9,83615.43,True,1,baseline,2,sl_hit,-58.53,-1.0,0.07,scenario1,cwt-uk100_gbp-5m-scenario1-long-202604070905,long,2026-04-07T09:05:00+00:00,,10449.5997,UK100_GBP,5m
13,since_inception_replay_raw,159.642,83724.01,83556.9,True,2,baseline,1,tp_hit,167.11,1.0,0.2,scenario2,cwt-usd_jpy-5m-scenario2-long-202604071005,long,2026-04-07T10:05:00+00:00,,159.466075,USD_JPY,5m
10,since_inception_replay_raw,159.736,83782.62,83724.01,True,1,baseline,1,tp_hit,58.61,1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071045,long,2026-04-07T10:45:00+00:00,,159.60989,USD_JPY,5m
37,since_inception_replay_raw,159.774,83841.27,83782.62,True,1,baseline,1,tp_hit,58.65,1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071055,long,2026-04-07T10:55:00+00:00,,159.61816,USD_JPY,5m
47,since_inception_replay_raw,159.784,83899.96,83841.27,True,1,baseline,1,tp_hit,58.69,1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071100,long,2026-04-07T11:00:00+00:00,,159.619941,USD_JPY,5m
46,since_inception_replay_raw,159.805,83958.69,83899.96,True,1,baseline,1,tp_hit,58.73,1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071110,long,2026-04-07T11:10:00+00:00,,159.63317,USD_JPY,5m
46,since_inception_replay_raw,159.824,84017.46,83958.69,True,1,baseline,1,tp_hit,58.77,1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071115,long,2026-04-07T11:15:00+00:00,,159.638774,USD_JPY,5m
42,since_inception_replay_raw,159.846,84076.27,84017.46,True,1,baseline,1,tp_hit,58.81,1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071135,long,2026-04-07T11:35:00+00:00,,159.665935,USD_JPY,5m
5,since_inception_replay_raw,159.932,84017.41,84076.27,True,1,baseline,2,sl_hit,-58.85,-1.0,0.07,scenario1,cwt-usd_jpy-5m-scenario1-long-202604071420,long,2026-04-07T14:20:00+00:00,,159.786114,USD_JPY,5m
58,since_inception_replay_raw,0.69417,84185.45,84017.41,True,2,baseline,1,tp_hit,168.03,1.0,0.2,scenario2,cwt-aud_usd-5m-scenario2-long-202604071425,long,2026-04-07T14:25:00+00:00,,0.692415,AUD_USD,5m
24,since_inception_replay_raw,211.969,84244.38,84185.45,True,1,baseline,1,tp_hit,58.93,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604071445,long,2026-04-07T14:45:00+00:00,,211.638957,GBP_JPY,15m
32,since_inception_replay_raw,0.69478,84303.35,84244.38,True,1,baseline,1,tp_hit,58.97,1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604071635,long,2026-04-07T16:35:00+00:00,,0.69373,AUD_USD,5m
10,since_inception_replay_raw,211.92,84362.36,84303.35,True,1,baseline,1,tp_hit,59.01,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604071715,long,2026-04-07T17:15:00+00:00,,211.725663,GBP_JPY,15m
23,since_inception_replay_raw,0.69543,84421.42,84362.36,True,1,baseline,1,tp_hit,59.05,1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604071750,long,2026-04-07T17:50:00+00:00,,0.694389,AUD_USD,5m
7,since_inception_replay_raw,0.6955,84362.32,84421.42,True,1,baseline,2,sl_hit,-59.09,-1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604071820,long,2026-04-07T18:20:00+00:00,,0.69456,AUD_USD,5m
7,since_inception_replay_raw,1.15798,84193.6,84362.32,True,2,baseline,3,sl_hit,-168.72,-1.0,0.2,scenario1,cwt-eur_usd-5m-scenario1-long-202604071820,long,2026-04-07T18:20:00+00:00,,1.157181,EUR_USD,5m
6,since_inception_replay_raw,0.6956,83814.73,84193.6,True,3,baseline,4,sl_hit,-378.87,-1.0,0.45,scenario1,cwt-aud_usd-5m-scenario1-long-202604071825,long,2026-04-07T18:25:00+00:00,,0.694615,AUD_USD,5m
6,since_inception_replay_raw,1.15821,82976.58,83814.73,True,4,baseline,4,sl_hit,-838.15,-1.0,1.0,scenario1,cwt-eur_usd-5m-scenario1-long-202604071825,long,2026-04-07T18:25:00+00:00,,1.157215,EUR_USD,5m
1,since_inception_replay_raw,159.844,82146.81,82976.58,True,4,baseline,4,sl_hit,-829.77,-1.0,1.0,scenario2,cwt-usd_jpy-5m-scenario2-long-202604071900,long,2026-04-07T19:00:00+00:00,,159.795175,USD_JPY,5m
4,since_inception_replay_raw,211.986,82968.28,82146.81,True,4,baseline,1,tp_hit,821.47,1.0,1.0,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604071930,long,2026-04-07T19:30:00+00:00,,211.786114,GBP_JPY,15m
26,since_inception_replay_raw,1.15952,83026.36,82968.28,True,1,baseline,1,tp_hit,58.08,1.0,0.07,scenario1,cwt-eur_usd-5m-scenario1-long-202604071950,long,2026-04-07T19:50:00+00:00,,1.157597,EUR_USD,5m
3,since_inception_replay_raw,212.048,83084.48,83026.36,True,1,baseline,1,tp_hit,58.12,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604072000,long,2026-04-07T20:00:00+00:00,,211.804808,GBP_JPY,15m
28,since_inception_replay_raw,0.69742,83142.64,83084.48,True,1,baseline,1,tp_hit,58.16,1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604072010,long,2026-04-07T20:10:00+00:00,,0.695128,AUD_USD,5m
28,since_inception_replay_raw,1.1599,83200.84,83142.64,True,1,baseline,1,tp_hit,58.2,1.0,0.07,scenario1,cwt-eur_usd-5m-scenario1-long-202604072010,long,2026-04-07T20:10:00+00:00,,1.157781,EUR_USD,5m
27,since_inception_replay_raw,0.69756,83259.08,83200.84,True,1,baseline,1,tp_hit,58.24,1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604072015,long,2026-04-07T20:15:00+00:00,,0.695167,AUD_USD,5m
27,since_inception_replay_raw,1.16018,83317.36,83259.08,True,1,baseline,1,tp_hit,58.28,1.0,0.07,scenario1,cwt-eur_usd-5m-scenario1-long-202604072015,long,2026-04-07T20:15:00+00:00,,1.157826,EUR_USD,5m
26,since_inception_replay_raw,1.16034,83375.68,83317.36,True,1,baseline,1,tp_hit,58.32,1.0,0.07,scenario1,cwt-eur_usd-5m-scenario1-long-202604072020,long,2026-04-07T20:20:00+00:00,,1.157873,EUR_USD,5m
8,since_inception_replay_raw,212.17,83434.04,83375.68,True,1,baseline,1,tp_hit,58.36,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604072030,long,2026-04-07T20:30:00+00:00,,211.819419,GBP_JPY,15m
4,since_inception_replay_raw,212.214,83492.45,83434.04,True,1,baseline,1,tp_hit,58.4,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604072130,long,2026-04-07T21:30:00+00:00,,211.849197,GBP_JPY,15m
5,since_inception_replay_raw,1.16012,83550.89,83492.45,True,1,baseline,1,tp_hit,58.44,1.0,0.07,scenario1,cwt-eur_usd-5m-scenario1-long-202604072135,long,2026-04-07T21:35:00+00:00,,1.159225,EUR_USD,5m
