variant,segment,symbol,timeframe,profile_name,trades,win_rate,avg_r,profit_factor,max_drawdown_r,total_net_pnl,signals,status
base,segment_2024_h1,LTC_USD,4h,ltc_usd_4h,15,0.13333333333333333,-0.2981999999999999,0.36312896887547347,-3.708100000000001,-12.445882000000001,15,ok
base,segment_2024_h1,BCH_USD,4h,bch_usd_4h,9,0.2222222222222222,-0.31418888888888885,0.2796219397243523,-3.0407999999999995,-30.310693999999998,9,ok
base,segment_2024_h2,WTICO_USD,4h,wtico_usd_4h,21,0.42857142857142855,0.2915904761904761,1.7671414790593956,-5.0634999999999994,5.072908000000001,21,ok
base,segment_2024_h2,BCO_USD,4h,bco_usd_4h,17,0.35294117647058826,0.15561176470588234,1.4381905219393414,-3.0682,-0.08393200000000062,17,ok
base,segment_2024_h2,XAG_USD,4h,xag_usd_4h,11,0.2727272727272727,-0.06120000000000001,0.8733562842146849,-2.9191000000000003,-0.01958700000000002,11,ok
base,segment_2024_h2,XAU_USD,4h,xau_usd_4h,8,0.5,0.3737,1.7762775238886581,-2.0,26.154217,8,ok
base,segment_2024_h2,UK100_GBP,4h,uk100_gbp_4h,2,0.0,-1.0,0.0,-1.0,-70.803395,2,ok
base,segment_2024_h2,NAS100_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h2,US30_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h2,SPX500_USD,4h,spx500_usd_4h,7,0.0,-0.9006,0.0,-5.3042,-108.997382,7,ok
base,segment_2024_h2,FR40_EUR,4h,fr40_eur_4h,1,1.0,4.4569,999.0,0.0,44.8,1,ok
base,segment_2024_h2,JP225_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h2,ESPIX_EUR,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h2,EUR_USD,4h,eur_usd_4h,26,0.4230769230769231,0.388873076923077,2.3111197562082606,-3.8764000000000003,0.017289,26,ok
base,segment_2024_h2,GBP_USD,4h,gbp_usd_4h,20,0.25,-0.10307,0.7154609576656038,-3.5221,-0.003793999999999999,20,ok
base,segment_2024_h2,USD_JPY,4h,usd_jpy_4h,23,0.5217391304347826,0.24009999999999998,2.0287252472942012,-2.732,2.9871090000000002,23,ok
base,segment_2024_h2,AUD_USD,4h,aud_usd_4h,20,0.35,0.041735,1.1717030423960668,-2.5827,0.005562000000000002,20,ok
base,segment_2024_h2,AUD_CHF,4h,aud_chf_4h,16,0.4375,-0.09705625000000001,0.6533086265404536,-2.5780000000000003,-0.004834000000000001,16,ok
base,segment_2024_h2,USD_CAD,4h,usd_cad_4h,18,0.4444444444444444,0.1831333333333333,1.600546547640736,-3.9574,-0.0008059999999999994,18,ok
base,segment_2024_h2,USD_CHF,4h,usd_chf_4h,20,0.3,-0.19236999999999999,0.4087199741812536,-3.7892,-0.007621000000000001,20,ok
base,segment_2024_h2,NZD_USD,4h,nzd_usd_4h,12,0.3333333333333333,-0.07916666666666662,0.8047998684967536,-2.4505999999999997,-0.0009539999999999991,12,ok
base,segment_2024_h2,EUR_GBP,4h,eur_gbp_4h,19,0.3157894736842105,0.1824684210526316,1.4511666644977426,-4.4867,-0.002187000000000001,19,ok
base,segment_2024_h2,EUR_JPY,4h,eur_jpy_4h,23,0.43478260869565216,0.3455956521739131,2.231898208418573,-3.8468999999999998,2.481592000000001,23,ok
base,segment_2024_h2,GBP_JPY,4h,gbp_jpy_4h,23,0.4782608695652174,0.12743478260869565,1.4969649699888092,-3.4413,-0.4347550000000002,23,ok
base,segment_2024_h2,BTC_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2024_h2,ETH_USD,4h,eth_usd_4h,2,0.0,-1.0,0.0,-1.0,-119.33803700000001,2,ok
base,segment_2024_h2,LTC_USD,4h,ltc_usd_4h,23,0.34782608695652173,-0.06817826086956522,0.8723586103604336,-3.7601999999999993,0.6816240000000029,23,ok
base,segment_2024_h2,BCH_USD,4h,bch_usd_4h,13,0.15384615384615385,-0.25040000000000007,0.39836617011052383,-5.4106000000000005,-28.808209,13,ok
base,segment_2025_h1,WTICO_USD,4h,wtico_usd_4h,21,0.42857142857142855,0.3658190476190476,2.6297946367956553,-3.1756000000000006,5.15159,21,ok
base,segment_2025_h1,BCO_USD,4h,bco_usd_4h,18,0.3888888888888889,0.2408222222222223,1.6346055309119123,-3.4113,4.184633999999999,18,ok
base,segment_2025_h1,XAG_USD,4h,xag_usd_4h,18,0.3888888888888889,-0.05797777777777777,0.8500553168867369,-2.2626,-0.6450990000000001,18,ok
base,segment_2025_h1,XAU_USD,4h,xau_usd_4h,5,0.2,-0.5586,0.30175,-2.0,-14.998855999999998,5,ok
base,segment_2025_h1,UK100_GBP,4h,uk100_gbp_4h,2,0.5,1.35685,3.7137,-1.0,95.263181,2,ok
base,segment_2025_h1,NAS100_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h1,US30_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h1,SPX500_USD,4h,spx500_usd_4h,2,0.5,0.5237,2.0474,-1.0,58.341969,2,ok
base,segment_2025_h1,FR40_EUR,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h1,JP225_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h1,ESPIX_EUR,4h,espix_eur_4h,1,1.0,8.8227,999.0,0.0,720.75,1,ok
base,segment_2025_h1,EUR_USD,4h,eur_usd_4h,13,0.46153846153846156,-0.09745384615384614,0.7150408241300975,-2.0045,0.0032179999999999986,13,ok
base,segment_2025_h1,GBP_USD,4h,gbp_usd_4h,21,0.14285714285714285,-0.19231428571428572,0.5827332183041112,-7.4049,-0.028127,21,ok
base,segment_2025_h1,USD_JPY,4h,usd_jpy_4h,16,0.625,0.249,2.8727965026089404,-1.0,3.5008539999999995,16,ok
base,segment_2025_h1,AUD_USD,4h,aud_usd_4h,13,0.23076923076923078,-0.19096153846153846,0.308438031033234,-3.5896999999999997,-0.013603,13,ok
base,segment_2025_h1,AUD_CHF,4h,aud_chf_4h,17,0.11764705882352941,-0.5064529411764706,0.01649512799716704,-7.7574000000000005,-0.025360999999999998,17,ok
base,segment_2025_h1,USD_CAD,4h,usd_cad_4h,12,0.25,-0.11997500000000004,0.6425680875890661,-1.7711000000000001,-0.00662,12,ok
base,segment_2025_h1,USD_CHF,4h,usd_chf_4h,21,0.2857142857142857,-0.007195238095238106,0.9774174263936632,-4.130599999999999,0.012331999999999997,21,ok
base,segment_2025_h1,NZD_USD,4h,nzd_usd_4h,11,0.2727272727272727,0.10737272727272727,1.376746411483254,-2.7282,-0.004435,11,ok
base,segment_2025_h1,EUR_GBP,4h,eur_gbp_4h,20,0.3,-0.16095,0.6270031633468904,-6.469899999999999,-0.00028399999999999975,20,ok
base,segment_2025_h1,EUR_JPY,4h,eur_jpy_4h,22,0.4090909090909091,-0.23254090909090908,0.40786823769068725,-5.6918999999999995,-1.7015550000000004,22,ok
base,segment_2025_h1,GBP_JPY,4h,gbp_jpy_4h,20,0.35,-0.10678999999999998,0.6649042157616455,-5.491499999999999,-3.0343909999999994,20,ok
base,segment_2025_h1,BTC_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h1,ETH_USD,4h,eth_usd_4h,1,0.0,-1.0,0.0,0.0,-141.662488,1,ok
base,segment_2025_h1,LTC_USD,4h,ltc_usd_4h,10,0.1,-0.50462,0.10798819182973608,-4.5557,-16.439647,10,ok
base,segment_2025_h1,BCH_USD,4h,bch_usd_4h,12,0.16666666666666666,-0.15083333333333337,0.7170504463099313,-3.0267,9.660380999999997,12,ok
base,segment_2025_h2,WTICO_USD,4h,wtico_usd_4h,19,0.42105263157894735,0.17509473684210528,1.65924223208624,-2.4442,1.6156969999999997,19,ok
base,segment_2025_h2,BCO_USD,4h,bco_usd_4h,13,0.46153846153846156,0.17354615384615385,1.697468080502056,-1.1334,1.1599799999999998,13,ok
base,segment_2025_h2,XAG_USD,4h,xag_usd_4h,20,0.55,1.162925,4.314545895027861,-3.4391000000000007,11.236445,20,ok
base,segment_2025_h2,XAU_USD,4h,xau_usd_4h,5,0.2,-0.14800000000000005,0.815,-3.0,103.49728300000001,5,ok
base,segment_2025_h2,UK100_GBP,4h,uk100_gbp_4h,4,0.25,2.634925,4.513233333333333,-2.0,72.08274899999999,4,ok
base,segment_2025_h2,NAS100_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h2,US30_USD,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h2,SPX500_USD,4h,spx500_usd_4h,3,0.0,-0.824,0.0,-1.472,-75.11306,3,ok
base,segment_2025_h2,FR40_EUR,4h,fr40_eur_4h,2,0.0,-1.0,0.0,-1.0,-194.257184,2,ok
base,segment_2025_h2,JP225_USD,4h,jp225_usd_4h,1,0.0,-1.0,0.0,0.0,-110.194772,1,ok
base,segment_2025_h2,ESPIX_EUR,4h,,0,0.0,0.0,0.0,0.0,0.0,0,ok
base,segment_2025_h2,EUR_USD,4h,eur_usd_4h,27,0.2962962962962963,-0.03124444444444444,0.9048285198555956,-5.0937,-0.0031669999999999984,27,ok
base,segment_2025_h2,GBP_USD,4h,gbp_usd_4h,16,0.375,0.19724375,2.552718327183271,-0.6274000000000002,0.011290000000000001,16,ok
base,segment_2025_h2,USD_JPY,4h,usd_jpy_4h,14,0.07142857142857142,-0.29620714285714284,0.0673159102154649,-3.8098999999999994,-2.453,14,ok
base,segment_2025_h2,AUD_USD,4h,aud_usd_4h,17,0.4117647058823529,-0.09136470588235293,0.7282525019245573,-2.7664,-0.004768000000000001,17,ok
base,segment_2025_h2,AUD_CHF,4h,aud_chf_4h,20,0.4,0.048115000000000005,1.191376807270847,-2.3350999999999997,0.0033710000000000007,20,ok
base,segment_2025_h2,USD_CAD,4h,usd_cad_4h,16,0.125,-0.26821249999999996,0.2596566893815233,-3.2913999999999994,-0.013078,16,ok
base,segment_2025_h2,USD_CHF,4h,usd_chf_4h,19,0.21052631578947367,-0.3806842105263158,0.32104907445650127,-6.572699999999999,-0.006744999999999999,19,ok
