variant,symbol,segments,trades,signals,win_rate,avg_r,profit_factor,max_drawdown_r,total_net_pnl
packet_b,GBP_USD,6,101,101,0.3218317630082336,0.135616537220949,1.7599941119017553,-3.9236166666666663,-0.0027229999999999997
packet_b,JP225_USD,6,3,3,0.16666666666666666,0.7355999999999999,166.5,0.0,-218.47581100000002
packet_b,LTC_USD,6,111,111,0.18333333333333335,-0.33251848076923074,0.37201506912986115,-5.156233333333334,-91.93943300000001
packet_b,NAS100_USD,6,4,4,0.08333333333333333,0.806775,2.11355,-0.16666666666666666,21.419763999999986
packet_b,NZD_USD,6,114,114,0.30499099350335496,-0.08184643292279696,0.8261292650167887,-4.419766666666667,-0.043549000000000004
packet_b,SPX500_USD,6,35,35,0.19722222222222222,-0.4286483333333333,0.4049082905841939,-3.054183333333333,-270.02122900000006
packet_b,UK100_GBP,6,28,28,0.33928571428571425,1.3591226190476189,4.71605935699379,-2.113583333333333,637.763218
packet_b,US30_USD,6,7,7,0.05555555555555555,-0.47490555555555564,0.27973333333333333,-0.3333333333333333,34.474038000000036
packet_b,USD_CAD,6,104,104,0.3187531422825541,-0.11897745044171515,0.7799829729971303,-4.099483333333333,-0.04437000000000001
packet_b,USD_CHF,6,122,122,0.2242087893336379,-0.1650676451977712,0.7071674969660183,-5.545583333333333,-0.042003
packet_b,USD_JPY,6,100,100,0.3761724386724387,0.0574656655844156,1.4092659935979144,-2.8487166666666663,5.179454999999999
packet_b,WTICO_USD,6,127,127,0.43012447125719433,0.3246867382636433,2.107216980710063,-3.8107666666666664,24.523258000000002
packet_b,XAG_USD,6,111,111,0.39651159629420496,0.3748390256498735,2.2869637098642808,-2.7657166666666675,16.846265000000002
packet_b,XAU_USD,6,63,63,0.3301778752436647,0.25628864766081866,1.5021368573067913,-2.7744999999999997,257.54434299999997
packet_c,AUD_CHF,6,145,146,0.3531803542673108,-0.04952677373284258,0.932004474447993,-4.788799999999999,-0.018866000000000008
packet_c,AUD_USD,6,129,129,0.35313510345270777,0.03852200686286895,1.1719521579020145,-3.6918166666666665,-0.00030499999999999755
packet_c,BCH_USD,6,92,92,0.2595749158249158,0.010126397306397342,1.0758458357862508,-3.4774499999999997,-43.40599
packet_c,BCO_USD,6,110,110,0.37858286364478316,0.15601298851389409,1.4789772624176758,-3.521433333333333,9.296337
packet_c,BTC_USD,6,0,0,0.0,0.0,0.0,0.0,0.0
packet_c,ESPIX_EUR,6,4,4,0.16666666666666666,0.9704499999999999,166.5,0.0,580.169523
packet_c,ETH_USD,6,23,23,0.037037037037037035,-0.630211111111111,0.09402377307136173,-2.158166666666667,-762.50058
packet_c,EUR_GBP,6,144,144,0.31645415273132665,-0.15601774897807505,0.6828466529073228,-6.5914166666666665,-0.034445
packet_c,EUR_JPY,6,138,138,0.40102243091594003,0.15173959805019188,1.5859720759447355,-4.141683333333334,8.753711000000001
packet_c,EUR_USD,6,139,139,0.40872300533116473,0.12211038888135901,1.4993503885818302,-4.0457833333333335,0.035694000000000004
packet_c,FR40_EUR,6,14,14,0.2916666666666667,0.20179999999999998,167.13894444444443,-1.1666666666666667,-212.931262
packet_c,GBP_JPY,6,135,135,0.3210272683333212,-0.08924553173857179,0.8730302866002663,-5.662933333333332,-8.749016
packet_c,GBP_USD,6,126,126,0.3577276387058996,0.1746572404296589,1.6392379738044092,-3.6794166666666666,0.038463
packet_c,JP225_USD,6,3,3,0.16666666666666666,0.7355999999999999,166.5,0.0,-218.47581100000002
packet_c,LTC_USD,6,121,121,0.18558892088303855,-0.3310477841766077,0.37293258090173653,-5.998366666666667,-100.025923
packet_c,NAS100_USD,6,4,4,0.08333333333333333,0.806775,2.11355,-0.16666666666666666,21.419763999999986
packet_c,NZD_USD,6,135,135,0.3349659137159137,-0.039543628535816035,0.9202246930619381,-4.485366666666667,-0.037904999999999994
packet_c,SPX500_USD,6,35,35,0.19722222222222222,-0.4286483333333333,0.4049082905841939,-3.054183333333333,-270.02122900000006
packet_c,UK100_GBP,6,28,28,0.33928571428571425,1.3591226190476189,4.71605935699379,-2.113583333333333,637.763218
packet_c,US30_USD,6,7,7,0.05555555555555555,-0.47490555555555564,0.27973333333333333,-0.3333333333333333,34.474038000000036
packet_c,USD_CAD,6,127,127,0.3234048180588069,-0.08804578452732702,0.7909035335759387,-4.9679166666666665,-0.04212500000000001
packet_c,USD_CHF,6,145,145,0.2146696931935891,-0.2036901913405543,0.6365368928740821,-6.834166666666667,-0.068683
packet_c,USD_JPY,6,119,119,0.38904151404151405,0.025795650183150175,1.1507443876431915,-3.1768500000000004,2.748387
packet_c,WTICO_USD,6,127,127,0.43012447125719433,0.3246867382636433,2.107216980710063,-3.8107666666666664,24.523258000000002
packet_c,XAG_USD,6,111,111,0.39651159629420496,0.3748390256498735,2.2869637098642808,-2.7657166666666675,16.846265000000002
packet_c,XAU_USD,6,63,63,0.3301778752436647,0.25628864766081866,1.5021368573067913,-2.7744999999999997,257.54434299999997
packet_d,AUD_CHF,6,148,149,0.35267002827311383,-0.053368326287317185,0.9274776542642457,-4.905733333333332,-0.02123600000000001
packet_d,AUD_USD,6,133,133,0.3544566544566545,0.04630426739926741,1.2243053393713852,-3.642,0.009461000000000002
packet_d,BCH_USD,6,96,96,0.26305957055637363,0.006846452719867076,1.0796943436050073,-3.544333333333333,-53.28599
packet_d,BCO_USD,6,110,110,0.37858286364478316,0.15601298851389409,1.4789772624176758,-3.521433333333333,9.296337
packet_d,BTC_USD,6,0,0,0.0,0.0,0.0,0.0,0.0
packet_d,ESPIX_EUR,6,5,5,0.16666666666666666,0.9704499999999999,166.5,-0.16666666666666666,516.8395820000001
packet_d,ETH_USD,6,24,24,0.037037037037037035,-0.7055611111111112,0.09402377307136173,-2.3248333333333333,-819.051695
packet_d,EUR_GBP,6,146,146,0.3107597082868822,-0.15922897120029728,0.6758185188123981,-6.6078833333333336,-0.036375000000000005
packet_d,EUR_JPY,6,140,140,0.4091975890910982,0.16488395114154497,1.6251238635249876,-4.124883333333333,10.388711
packet_d,EUR_USD,6,142,142,0.4073825701672002,0.11570111370664266,1.463104908817024,-3.9967666666666664,0.033194
packet_d,FR40_EUR,6,14,14,0.2916666666666667,0.20179999999999998,167.13894444444443,-1.1666666666666667,-212.931262
packet_d,GBP_JPY,6,137,137,0.3255661209113894,-0.08106853464343745,0.8719055585043335,-5.689483333333333,-8.607016
packet_d,GBP_USD,6,127,127,0.35509259259259257,0.16871063305152978,1.6021176367539225,-3.7145333333333332,0.036483
packet_d,JP225_USD,6,3,3,0.16666666666666666,0.7355999999999999,166.5,0.0,-218.47581100000002
packet_d,LTC_USD,6,122,122,0.18558892088303855,-0.3342688258432744,0.37293258090173653,-6.165033333333334,-105.871445
packet_d,NAS100_USD,6,4,4,0.08333333333333333,0.806775,2.11355,-0.16666666666666666,21.419763999999986
packet_d,NZD_USD,6,138,138,0.3272653919867542,-0.05532605368058155,0.8740577702863903,-4.738133333333334,-0.044997999999999996
packet_d,SPX500_USD,6,37,37,0.19722222222222222,-0.4328183333333333,0.4049082905841939,-3.3497,-328.71711700000003
packet_d,UK100_GBP,6,28,28,0.33928571428571425,1.3591226190476189,4.71605935699379,-2.113583333333333,637.763218
packet_d,US30_USD,6,8,8,0.05555555555555555,-0.5912888888888889,0.27973333333333333,-0.5,-317.94477499999994
packet_d,USD_CAD,6,127,127,0.3234048180588069,-0.08804578452732702,0.7909035335759387,-4.9679166666666665,-0.04212500000000001
packet_d,USD_CHF,6,148,148,0.21709511405913204,-0.21306823106123707,0.6228923974328078,-7.135316666666667,-0.075528
packet_d,USD_JPY,6,122,122,0.3961528489659161,0.04826119692467242,1.2374090634858328,-3.1900333333333335,3.9711869999999996
packet_d,WTICO_USD,6,128,128,0.42793148880105397,0.3145560803689064,2.053368599871298,-3.8107666666666664,23.703258
packet_d,XAG_USD,6,111,111,0.39651159629420496,0.3748390256498735,2.2869637098642808,-2.7657166666666675,16.846265000000002
packet_d,XAU_USD,6,63,63,0.3301778752436647,0.25628864766081866,1.5021368573067913,-2.7744999999999997,257.54434299999997
