symbol,market_family,parameter_set_id,bar_timeframe,data_start,data_end,years_covered,num_signals,num_trades,trades_per_year,trades_per_month,approx_trades_per_day,win_rate_pct,profit_factor,avg_R_per_trade,gross_R,max_drawdown_R,positive_years,years_tested,robustness_score,killzone_only,vectorized_replay_aligned,meets_frequency_goal,meets_quality_bar
WTICO_USD,metals,met_smaller_target_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,57.14,0.2146361406377762,-0.1957012592270982,-1.3699088145896874,-1.700000000000011,1,4,0.5199,False,True,False,False
WTICO_USD,metals,met_smaller_target_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,57.14,0.2146361406377762,-0.1957012592270982,-1.3699088145896874,-1.700000000000011,1,4,0.5199,True,True,False,False
WTICO_USD,metals,met_buffered_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,42.86,0.2241308793456025,-0.2595438095711441,-1.8168066669980085,-0.8871456500488613,0,4,0.0,False,True,False,False
WTICO_USD,metals,met_buffered_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,42.86,0.2241308793456025,-0.2595438095711441,-1.8168066669980085,-0.8871456500488613,0,4,0.0,True,True,False,False
XAG_USD,metals,met_balanced_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,57.14,0.0721163695963892,-0.0854339797081453,-0.5980378579570171,-2.4365735034290816,2,4,1.0397,False,True,False,False
XAG_USD,metals,met_balanced_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,57.14,0.0721163695963892,-0.0854339797081453,-0.5980378579570171,-2.4365735034290816,2,4,1.0397,True,True,False,False
XAG_USD,metals,met_smaller_target_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,57.14,0.0551116574472422,-0.1497196939939546,-1.0480378579576821,-2.4365735034290816,2,4,1.0397,False,True,False,False
XAG_USD,metals,met_smaller_target_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,57.14,0.0551116574472422,-0.1497196939939546,-1.0480378579576821,-2.4365735034290816,2,4,1.0397,True,True,False,False
XAG_USD,metals,met_buffered_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,28.57,0.0180686609114639,-0.431507438476516,-3.0205520693356123,-2.8565057037282897,0,4,0.0,False,True,False,False
XAG_USD,metals,met_buffered_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,7,7,2.159360236480245,0.17994668637335376,0.00856888982730256,28.57,0.0180686609114639,-0.431507438476516,-3.0205520693356123,-2.8565057037282897,0,4,0.0,True,True,False,False
XAU_USD,metals,met_buffered_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,11,11,3.3932803716118136,0.2827733643009845,0.01346539830004688,27.27,0.0514599719857739,-0.6454545454545507,-7.100000000000058,-7.700000000000008,1,4,0.6212,False,True,False,False
XAU_USD,metals,met_buffered_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,9,9,2.7763203040460294,0.23136002533716912,0.01101714406367472,33.33,0.0651924651924611,-0.5666666666666731,-5.100000000000058,-5.700000000000008,1,4,0.5756,True,True,False,False
XAU_USD,metals,met_balanced_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,13,13,4.010240439177598,0.3341867032647998,0.015913652536419038,23.08,0.0594028693291963,-0.676923076923077,-8.8,-7.800000000000001,0,4,0.0,False,True,False,False
XAU_USD,metals,met_balanced_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,11,11,3.3932803716118136,0.2827733643009845,0.01346539830004688,27.27,0.0729436971789057,-0.6181818181818182,-6.8,-5.8,0,4,0.0,True,True,False,False
XAU_USD,metals,met_smaller_target_off,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,13,13,4.010240439177598,0.3341867032647998,0.015913652536419038,23.08,0.0445521519968972,-0.6999999999999946,-9.09999999999993,-8.09999999999993,0,4,0.0,False,True,False,False
XAU_USD,metals,met_smaller_target_on,M15,2023-01-02 23:00:00+00:00,2026-03-31 23:45:00+00:00,3.24,11,11,3.3932803716118136,0.2827733643009845,0.01346539830004688,27.27,0.0547077728841792,-0.6454545454545391,-7.0999999999999295,-6.0999999999999295,0,4,0.0,True,True,False,False
