symbol,parameter_set_id,data_start,data_end,years_covered,replay_data_start,replay_data_end,bar_timeframe,num_trading_days,num_bars_used,killzone_only,num_signals,num_trades,win_rate_pct,profit_factor,avg_R_per_trade,avg_trade_duration_min,max_drawdown_R,vectorized_vs_replay_PnL_diff_pct,vectorized_num_signals,vectorized_num_trades,vectorized_win_rate_pct,vectorized_profit_factor,vectorized_avg_R_per_trade,vectorized_avg_trade_duration_min,vectorized_max_drawdown_R,vectorized_total_pnl_points,replay_num_signals,replay_num_trades,replay_win_rate_pct,replay_profit_factor,replay_avg_R_per_trade,replay_avg_trade_duration_min,replay_max_drawdown_R,replay_total_pnl_points,vectorized_trade_frequency_per_month,replay_trade_frequency_per_month
NAS100_USD,flow_wider_targets_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,False,99,92,47.83,2.1846942965420806,0.12866977989913925,51.57608695652174,-5.833217282343066,0.0,99,92,47.83,2.1846942965420806,0.12866977989913925,51.57608695652174,-5.833217282343066,1257.1214285714032,99,92,47.83,2.1846942965420806,0.12866977989913925,51.57608695652174,-5.833217282343066,1257.1214285714032,2.3649997214100758,2.3649997214100758
NAS100_USD,flow_wider_targets_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229464,True,58,56,39.29,1.1803324539935598,-0.01826634985248826,46.607142857142854,-5.88155066809661,0.0,58,56,39.29,1.1803324539935598,-0.01826634985248826,46.607142857142854,-5.88155066809661,121.58142857141578,58,56,39.29,1.1803324539935598,-0.01826634985248826,46.607142857142854,-5.88155066809661,121.58142857141578,1.4395650478148287,1.4395650478148287
US30_USD,flow_balanced_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,False,47,45,35.56,0.7245201829831662,-0.07997391046520361,34.888888888888886,-5.362547588304478,0.0,47,45,35.56,0.7245201829831662,-0.07997391046520361,34.888888888888886,-5.362547588304478,-469.1760714285447,47,45,35.56,0.7245201829831662,-0.07997391046520361,34.888888888888886,-5.362547588304478,-469.1760714285447,1.1567933419940588,1.1567933419940588
US30_USD,flow_balanced_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,True,33,31,38.71,1.1692281609533506,-0.04686631933103351,37.903225806451616,-3.558006333479172,0.0,33,31,38.71,1.1692281609533506,-0.04686631933103351,37.903225806451616,-3.558006333479172,154.18196428572926,33,31,38.71,1.1692281609533506,-0.04686631933103351,37.903225806451616,-3.558006333479172,154.18196428572926,0.7969020800403516,0.7969020800403516
US30_USD,flow_faster_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,False,334,309,49.51,1.06273466796919,0.01578433528236397,39.80582524271845,-12.07038038307713,0.0,334,309,49.51,1.06273466796919,0.01578433528236397,39.80582524271845,-12.07038038307713,566.5947857143501,334,309,49.51,1.06273466796919,0.01578433528236397,39.80582524271845,-12.07038038307713,566.5947857143501,7.943314281692537,7.943314281692537
US30_USD,flow_faster_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,True,194,184,50.0,1.385704882244581,0.038323157855313005,36.73913043478261,-10.169759660831533,0.0,194,184,50.0,1.385704882244581,0.038323157855313005,36.73913043478261,-10.169759660831533,1535.8465357143127,194,184,50.0,1.385704882244581,0.038323157855313005,36.73913043478261,-10.169759660831533,1535.8465357143127,4.7299994428201515,4.7299994428201515
US30_USD,flow_session_push_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,False,1597,1252,48.24,0.827169403393146,-0.05816722153090037,31.33785942492013,-75.75025494825255,0.0,1597,1252,48.24,0.827169403393146,-0.05816722153090037,31.33785942492013,-75.75025494825255,-5343.158999999896,1597,1252,48.24,0.827169403393146,-0.05816722153090037,31.33785942492013,-75.75025494825255,-5343.158999999896,32.18456142614581,32.18456142614581
US30_USD,flow_session_push_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,True,881,762,48.29,0.8983557247213574,-0.06229778504715828,30.485564304461942,-52.09560780252499,0.0,881,762,48.29,0.8983557247213574,-0.06229778504715828,30.485564304461942,-52.09560780252499,-1426.031428571394,881,762,48.29,0.8983557247213574,-0.06229778504715828,30.485564304461942,-52.09560780252499,-1426.031428571394,19.588367257766063,19.588367257766063
US30_USD,flow_tighter_stop_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,False,12,12,41.67,0.503905688720553,-0.2067892980094098,13.333333333333334,-4.581471576112923,0.0,12,12,41.67,0.503905688720553,-0.2067892980094098,13.333333333333334,-4.581471576112923,-162.76499999998924,12,12,41.67,0.503905688720553,-0.2067892980094098,13.333333333333334,-4.581471576112923,-162.76499999998924,0.308478224531749,0.308478224531749
US30_USD,flow_tighter_stop_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,True,9,9,55.56,2.497608300545286,0.02461946214407187,11.11111111111111,-2.228424840703358,0.0,9,9,55.56,2.497608300545286,0.02461946214407187,11.11111111111111,-2.228424840703358,267.79910714286524,9,9,55.56,2.497608300545286,0.02461946214407187,11.11111111111111,-2.228424840703358,267.79910714286524,0.23135866839881175,0.23135866839881175
US30_USD,flow_trendier_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,False,3,3,66.67,5.045191247796568,0.8213623877824117,23.333333333333332,-0.4359128366527778,0.0,3,3,66.67,5.045191247796568,0.8213623877824117,23.333333333333332,-0.4359128366527778,131.06419642858526,3,3,66.67,5.045191247796568,0.8213623877824117,23.333333333333332,-0.4359128366527778,131.06419642858526,0.07711955613293725,0.07711955613293725
US30_USD,flow_trendier_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,True,2,2,100.0,,1.3805155754468186,95.0,0.0,0.0,2,2,100.0,,1.3805155754468186,95.0,0.0,518.7819642857212,2,2,100.0,,1.3805155754468186,95.0,0.0,518.7819642857212,0.051413037421958165,0.051413037421958165
US30_USD,flow_wider_targets_off,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,False,88,84,34.52,0.7213085357425332,-0.012936756890596365,47.55952380952381,-4.646199771378977,0.0,88,84,34.52,0.7213085357425332,-0.012936756890596365,47.55952380952381,-4.646199771378977,-959.1385714285431,88,84,34.52,0.7213085357425332,-0.012936756890596365,47.55952380952381,-4.646199771378977,-959.1385714285431,2.159347571722243,2.159347571722243
US30_USD,flow_wider_targets_on,2020-01-01 22:00:00+00:00,2026-03-31 21:00:00+00:00,6.24,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,M5,1615,229386,True,64,61,37.7,1.0371425706263337,0.02850788745274051,49.67213114754098,-3.420463974998951,0.0,64,61,37.7,1.0371425706263337,0.02850788745274051,49.67213114754098,-3.420463974998951,74.07714285715991,64,61,37.7,1.0371425706263337,0.02850788745274051,49.67213114754098,-3.420463974998951,74.07714285715991,1.568097641369724,1.568097641369724
