trade_number,timestamp,setup_id,symbol,asset_class,timeframe,side,scenario,outcome,realized_r,ladder_step_at_entry,risk_pct_at_entry,risk_dollars_at_entry,equity_before,pnl_dollars,equity_after,next_ladder_step,next_risk_pct
47,2026-04-06T18:30:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604061830,GBP_JPY,forex_cross,15m,long,scenario1,sl_hit,-1.0,1,0.07,64.11,91590.83,-64.11,91526.71,2,0.2
48,2026-04-06T18:55:00+00:00,cwt-spx500_usd-5m-scenario1-long-202604061855,SPX500_USD,index,5m,long,scenario1,tp_hit,1.0,1,0.07,64.07,91526.71,64.07,91590.78,1,0.07
49,2026-04-06T20:25:00+00:00,cwt-spx500_usd-5m-scenario1-long-202604062025,SPX500_USD,index,5m,long,scenario1,tp_hit,1.0,1,0.07,64.11,91590.78,64.11,91654.9,1,0.07
50,2026-04-06T21:15:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604062115,GBP_JPY,forex_cross,15m,long,scenario1,sl_hit,-1.0,2,0.2,183.31,91654.9,-183.31,91471.59,3,0.45
51,2026-04-06T23:00:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604062300,USD_JPY,forex,5m,long,scenario2,tp_hit,1.0,3,0.45,411.62,91471.59,411.62,91883.21,1,0.07
52,2026-04-07T00:15:00+00:00,cwt-gbp_jpy-15m-scenario2-long-202604070015,GBP_JPY,forex_cross,15m,long,scenario2,tp_hit,1.0,3,0.45,413.47,91883.21,413.47,92296.68,1,0.07
53,2026-04-07T00:20:00+00:00,cwt-spx500_usd-5m-scenario2-long-202604070020,SPX500_USD,index,5m,long,scenario2,sl_hit,-1.0,1,0.07,64.61,92296.68,-64.61,92232.08,2,0.2
54,2026-04-07T00:30:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604070030,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.56,92232.08,64.56,92296.64,1,0.07
55,2026-04-07T00:35:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604070035,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.61,92296.64,64.61,92361.25,1,0.07
56,2026-04-07T00:55:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604070055,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.65,92361.25,64.65,92425.9,1,0.07
57,2026-04-07T01:00:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604070100,USD_JPY,forex,5m,long,scenario1,sl_hit,-1.0,1,0.07,64.7,92425.9,-64.7,92361.2,2,0.2
58,2026-04-07T01:40:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604070140,USD_JPY,forex,5m,long,scenario1,sl_hit,-1.0,2,0.2,184.72,92361.2,-184.72,92176.48,3,0.45
59,2026-04-07T01:45:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604070145,USD_JPY,forex,5m,long,scenario1,sl_hit,-1.0,3,0.45,414.79,92176.48,-414.79,91761.68,4,1.0
60,2026-04-07T04:00:00+00:00,cwt-gbp_jpy-15m-scenario2-long-202604070400,GBP_JPY,forex_cross,15m,long,scenario2,sl_hit,-1.0,1,0.07,64.23,91761.68,-64.23,91697.45,2,0.2
61,2026-04-07T05:15:00+00:00,cwt-uk100_gbp-5m-scenario2-long-202604070515,UK100_GBP,index,5m,long,scenario2,sl_hit,-1.0,1,0.07,64.19,91697.45,-64.19,91633.26,2,0.2
62,2026-04-07T05:45:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604070545,USD_JPY,forex,5m,long,scenario2,sl_hit,-1.0,4,1.0,916.33,91633.26,-916.33,90716.93,4,1.0
63,2026-04-07T06:15:00+00:00,cwt-uk100_gbp-5m-scenario2-long-202604070615,UK100_GBP,index,5m,long,scenario2,sl_hit,-1.0,2,0.2,181.43,90716.93,-181.43,90535.5,3,0.45
64,2026-04-07T06:40:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604070640,USD_JPY,forex,5m,long,scenario2,tp_hit,1.0,4,1.0,905.35,90535.5,905.35,91440.85,1,0.07
65,2026-04-07T08:10:00+00:00,cwt-uk100_gbp-5m-scenario2-long-202604070810,UK100_GBP,index,5m,long,scenario2,tp_hit,1.0,3,0.45,411.48,91440.85,411.48,91852.34,1,0.07
66,2026-04-07T08:15:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604070815,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,2,0.2,183.7,91852.34,183.7,92036.04,1,0.07
67,2026-04-07T08:45:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604070845,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,64.43,92036.04,64.43,92100.47,1,0.07
68,2026-04-07T09:00:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604070900,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,64.47,92100.47,64.47,92164.94,1,0.07
69,2026-04-07T09:05:00+00:00,cwt-uk100_gbp-5m-scenario1-long-202604070905,UK100_GBP,index,5m,long,scenario1,sl_hit,-1.0,1,0.07,64.52,92164.94,-64.52,92100.42,2,0.2
70,2026-04-07T10:05:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604071005,USD_JPY,forex,5m,long,scenario2,tp_hit,1.0,1,0.07,64.47,92100.42,64.47,92164.89,1,0.07
71,2026-04-07T10:45:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071045,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.52,92164.89,64.52,92229.41,1,0.07
72,2026-04-07T10:55:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071055,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.56,92229.41,64.56,92293.97,1,0.07
73,2026-04-07T11:00:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071100,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.61,92293.97,64.61,92358.57,1,0.07
74,2026-04-07T11:10:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071110,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.65,92358.57,64.65,92423.22,1,0.07
75,2026-04-07T11:15:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071115,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.7,92423.22,64.7,92487.92,1,0.07
76,2026-04-07T11:35:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071135,USD_JPY,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,64.74,92487.92,64.74,92552.66,1,0.07
77,2026-04-07T14:20:00+00:00,cwt-usd_jpy-5m-scenario1-long-202604071420,USD_JPY,forex,5m,long,scenario1,sl_hit,-1.0,1,0.07,64.79,92552.66,-64.79,92487.87,2,0.2
78,2026-04-07T14:25:00+00:00,cwt-aud_usd-5m-scenario2-long-202604071425,AUD_USD,forex,5m,long,scenario2,tp_hit,1.0,4,1.0,924.88,92487.87,924.88,93412.75,1,0.07
79,2026-04-07T14:45:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604071445,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,65.39,93412.75,65.39,93478.14,1,0.07
80,2026-04-07T16:35:00+00:00,cwt-aud_usd-5m-scenario1-long-202604071635,AUD_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,65.43,93478.14,65.43,93543.58,1,0.07
81,2026-04-07T17:15:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604071715,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,65.48,93543.58,65.48,93609.06,1,0.07
82,2026-04-07T17:50:00+00:00,cwt-aud_usd-5m-scenario1-long-202604071750,AUD_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,65.53,93609.06,65.53,93674.58,1,0.07
83,2026-04-07T18:20:00+00:00,cwt-aud_usd-5m-scenario1-long-202604071820,AUD_USD,forex,5m,long,scenario1,sl_hit,-1.0,1,0.07,65.57,93674.58,-65.57,93609.01,2,0.2
84,2026-04-07T18:20:00+00:00,cwt-eur_usd-5m-scenario1-long-202604071820,EUR_USD,forex,5m,long,scenario1,sl_hit,-1.0,2,0.2,187.22,93609.01,-187.22,93421.79,3,0.45
85,2026-04-07T18:25:00+00:00,cwt-aud_usd-5m-scenario1-long-202604071825,AUD_USD,forex,5m,long,scenario1,sl_hit,-1.0,2,0.2,186.84,93421.79,-186.84,93234.95,3,0.45
86,2026-04-07T18:25:00+00:00,cwt-eur_usd-5m-scenario1-long-202604071825,EUR_USD,forex,5m,long,scenario1,sl_hit,-1.0,3,0.45,419.56,93234.95,-419.56,92815.39,4,1.0
87,2026-04-07T19:00:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604071900,USD_JPY,forex,5m,long,scenario2,sl_hit,-1.0,2,0.2,185.63,92815.39,-185.63,92629.76,3,0.45
88,2026-04-07T19:30:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604071930,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,64.84,92629.76,64.84,92694.6,1,0.07
89,2026-04-07T19:50:00+00:00,cwt-eur_usd-5m-scenario1-long-202604071950,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,4,1.0,926.95,92694.6,926.95,93621.55,1,0.07
90,2026-04-07T20:00:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604072000,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,65.54,93621.55,65.54,93687.08,1,0.07
91,2026-04-07T20:10:00+00:00,cwt-aud_usd-5m-scenario1-long-202604072010,AUD_USD,forex,5m,long,scenario1,tp_hit,1.0,3,0.45,421.59,93687.08,421.59,94108.68,1,0.07
92,2026-04-07T20:10:00+00:00,cwt-eur_usd-5m-scenario1-long-202604072010,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,65.88,94108.68,65.88,94174.55,1,0.07
93,2026-04-07T20:15:00+00:00,cwt-aud_usd-5m-scenario1-long-202604072015,AUD_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,65.92,94174.55,65.92,94240.47,1,0.07
94,2026-04-07T20:15:00+00:00,cwt-eur_usd-5m-scenario1-long-202604072015,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,65.97,94240.47,65.97,94306.44,1,0.07
