setup_id,symbol,asset_class,timeframe,signal_type,timestamp,setup_bar_time,scenario,entry,stop_loss,target_1,status,outcome,outcome_timestamp,exit_price,bars_checked,realized_r
cwt-spx500_usd-5m-scenario1-long-202604061420,SPX500_USD,index,5m,long,2026-04-06T14:20:00+00:00,2026-04-06T14:15:00+00:00,scenario1,6612.0,6593.066586,6630.933414,closed,sl_hit,2026-04-06T17:10:00+00:00,6593.066586,34,-1.0
cwt-eur_usd-5m-scenario1-long-202604061435,EUR_USD,forex,5m,long,2026-04-06T14:35:00+00:00,2026-04-06T14:30:00+00:00,scenario1,1.15691,1.155281,1.158539,closed,sl_hit,2026-04-06T14:50:00+00:00,1.155281,3,-1.0
cwt-nas100_usd-5m-scenario2-long-202604061550,NAS100_USD,index,5m,long,2026-04-06T15:50:00+00:00,2026-04-06T15:45:00+00:00,scenario2,24175.3,24108.133929,24242.466071,closed,sl_hit,2026-04-06T17:10:00+00:00,24108.133929,16,-1.0
cwt-nas100_usd-5m-scenario1-long-202604061635,NAS100_USD,index,5m,long,2026-04-06T16:35:00+00:00,2026-04-06T16:30:00+00:00,scenario1,24190.8,24161.532227,24220.067773,closed,sl_hit,2026-04-06T17:00:00+00:00,24161.532227,5,-1.0
cwt-nas100_usd-5m-scenario1-long-202604061640,NAS100_USD,index,5m,long,2026-04-06T16:40:00+00:00,2026-04-06T16:35:00+00:00,scenario1,24195.8,24163.096259,24228.503741,closed,sl_hit,2026-04-06T17:00:00+00:00,24163.096259,4,-1.0
cwt-spx500_usd-5m-scenario1-long-202604061640,SPX500_USD,index,5m,long,2026-04-06T16:40:00+00:00,2026-04-06T16:35:00+00:00,scenario1,6613.4,6603.260228,6623.539772,closed,sl_hit,2026-04-06T17:00:00+00:00,6603.260228,4,-1.0
cwt-nas100_usd-5m-scenario1-long-202604061650,NAS100_USD,index,5m,long,2026-04-06T16:50:00+00:00,2026-04-06T16:45:00+00:00,scenario1,24204.6,24164.42777,24244.77223,closed,sl_hit,2026-04-06T17:00:00+00:00,24164.42777,2,-1.0
cwt-spx500_usd-5m-scenario1-long-202604061650,SPX500_USD,index,5m,long,2026-04-06T16:50:00+00:00,2026-04-06T16:45:00+00:00,scenario1,6615.9,6604.038537,6627.761463,closed,sl_hit,2026-04-06T17:00:00+00:00,6604.038537,2,-1.0
cwt-nas100_usd-5m-scenario2-long-202604061815,NAS100_USD,index,5m,long,2026-04-06T18:15:00+00:00,2026-04-06T18:10:00+00:00,scenario2,24170.2,24068.458571,24271.941429,closed,sl_hit,2026-04-07T01:50:00+00:00,24068.458571,79,-1.0
cwt-spx500_usd-5m-scenario2-long-202604061815,SPX500_USD,index,5m,long,2026-04-06T18:15:00+00:00,2026-04-06T18:10:00+00:00,scenario2,6606.2,6587.317857,6625.082143,closed,tp_hit,2026-04-06T22:00:00+00:00,6625.082143,33,1.0
cwt-gbp_jpy-15m-scenario1-long-202604061830,GBP_JPY,forex_cross,15m,long,2026-04-06T18:30:00+00:00,2026-04-06T18:15:00+00:00,scenario1,211.396,211.288422,211.503578,closed,sl_hit,2026-04-06T22:00:00+00:00,211.288422,14,-1.0
cwt-spx500_usd-5m-scenario1-long-202604061855,SPX500_USD,index,5m,long,2026-04-06T18:55:00+00:00,2026-04-06T18:50:00+00:00,scenario1,6615.6,6603.202584,6627.997416,closed,tp_hit,2026-04-06T22:05:00+00:00,6627.997416,26,1.0
cwt-spx500_usd-5m-scenario1-long-202604062025,SPX500_USD,index,5m,long,2026-04-06T20:25:00+00:00,2026-04-06T20:20:00+00:00,scenario1,6619.4,6610.987624,6627.812376,closed,tp_hit,2026-04-06T22:05:00+00:00,6627.812376,8,1.0
cwt-gbp_jpy-15m-scenario1-long-202604062115,GBP_JPY,forex_cross,15m,long,2026-04-06T21:15:00+00:00,2026-04-06T21:00:00+00:00,scenario1,211.446,211.324524,211.567476,closed,sl_hit,2026-04-06T21:30:00+00:00,211.324524,1,-1.0
cwt-usd_jpy-5m-scenario2-long-202604062300,USD_JPY,forex,5m,long,2026-04-06T23:00:00+00:00,2026-04-06T22:55:00+00:00,scenario2,159.67,159.65025,159.68975,closed,tp_hit,2026-04-06T23:20:00+00:00,159.68975,4,1.0
cwt-gbp_jpy-15m-scenario2-long-202604070015,GBP_JPY,forex_cross,15m,long,2026-04-07T00:15:00+00:00,2026-04-07T00:00:00+00:00,scenario2,211.424,211.207254,211.640746,closed,tp_hit,2026-04-07T06:30:00+00:00,211.640746,25,1.0
cwt-spx500_usd-5m-scenario2-long-202604070020,SPX500_USD,index,5m,long,2026-04-07T00:20:00+00:00,2026-04-07T00:15:00+00:00,scenario2,6620.4,6610.825,6629.975,closed,sl_hit,2026-04-07T00:35:00+00:00,6610.825,3,-1.0
cwt-usd_jpy-5m-scenario1-long-202604070030,USD_JPY,forex,5m,long,2026-04-07T00:30:00+00:00,2026-04-07T00:25:00+00:00,scenario1,159.732,159.669842,159.794158,closed,tp_hit,2026-04-07T00:50:00+00:00,159.794158,4,1.0
cwt-usd_jpy-5m-scenario1-long-202604070035,USD_JPY,forex,5m,long,2026-04-07T00:35:00+00:00,2026-04-07T00:30:00+00:00,scenario1,159.754,159.670671,159.837329,closed,tp_hit,2026-04-07T00:55:00+00:00,159.837329,4,1.0
cwt-usd_jpy-5m-scenario1-long-202604070055,USD_JPY,forex,5m,long,2026-04-07T00:55:00+00:00,2026-04-07T00:50:00+00:00,scenario1,159.808,159.683934,159.932066,closed,tp_hit,2026-04-07T02:05:00+00:00,159.932066,14,1.0
